	Litchfield	Hartford	Tolland	Windham	Fairfield	New Haven	Middlesex	New London	
3/21/2020	2	12	2		15	9	3	0	
3/22/2020	3	13	2		20	9	3	1	
3/23/2020	2	13	2		20	12	4	1	
3/24/2020	3	17	4		23	19	4	1	
3/25/2020	3	24	5		47	28	4	2	
3/26/2020	3	27	5		49	34	5	2	
3/27/2020	9	36	7		68	46	5	2	
3/28/2020	12	41	7		88	50	5	2	
3/29/2020	5	67	0	1	189	137	1	4	
3/30/2020	7	96	2		230	176	1	5	
3/31/2020	7	110	1		275	202	5	8	
4/1/2020	11	126	1		359	251	8	10	
4/2/2020	11	136	2	3	381	274	11	9	
4/3/2020	14	166	3	3	409	293	12	9	
4/4/2020	15	184	3	3	475	324	19	10	
4/5/2020	15	189	3	3	531	372	19	10	
4/6/2020	15	213	3	2	572	384	22	10	
4/7/2020									
4/8/2020									
4/9/2020									
4/10/2020									